umap_1,umap_2,true_label_name,vae_cluster
10.243307,3.7936592,blues,3
10.871821,3.8947868,blues,3
10.536636,3.733884,blues,3
10.4067955,3.684292,blues,3
10.361784,3.4780018,blues,3
13.901935,4.979141,blues,7
11.002341,3.9321334,blues,3
10.374077,3.5563297,blues,3
10.2649975,3.8516507,blues,3
10.450929,3.4064953,blues,3
8.604026,5.7158346,blues,2
8.483436,5.0218,blues,2
6.679273,3.7010376,blues,5
8.53993,5.9565268,blues,2
8.662263,5.624911,blues,2
8.534966,5.0475955,blues,2
8.825314,5.2484155,blues,2
9.463664,5.3669405,blues,3
9.635502,5.155509,blues,3
8.307702,4.9975967,blues,2
9.297375,4.268581,blues,9
10.057256,3.5387459,blues,3
10.243001,3.628781,blues,3
10.306786,3.4820004,blues,3
9.868683,3.6740441,blues,3
9.281971,4.320035,blues,9
9.521847,3.7669694,blues,9
13.9148,4.7915764,blues,7
13.972139,4.819591,blues,7
14.428861,4.92176,blues,7
5.3953304,4.026536,blues,6
5.446949,4.065999,blues,6
5.4344416,4.0477653,blues,6
6.4206243,4.5173793,blues,8
7.7821693,4.9217978,blues,2
7.880763,4.913478,blues,9
7.8733854,4.681414,blues,9
5.7612925,4.1092553,blues,6
7.7293644,4.875338,blues,9
7.4320297,4.8107257,blues,9
6.9972844,1.7410742,blues,9
7.3520365,6.2598667,blues,9
6.9793077,6.093647,blues,9
6.8461375,5.8039565,blues,9
7.0178194,1.8831722,blues,9
9.17241,4.0582356,blues,9
5.078485,4.2773557,blues,9
9.123762,4.003757,blues,9
8.966202,3.6845908,blues,9
9.057807,3.7905233,blues,9
5.506331,4.5322156,blues,9
5.2127094,4.372714,blues,9
7.6163654,6.375148,blues,4
7.2095737,6.401939,blues,9
7.636255,6.270756,blues,2
4.9572024,4.2722034,blues,6
5.087107,4.3802767,blues,9
7.4770846,6.31929,blues,9
8.837141,3.9692116,blues,9
5.0860868,4.3034844,blues,9
7.358627,6.2947946,blues,9
5.7298384,5.0098476,blues,9
5.2693424,4.628206,blues,9
5.186321,4.650128,blues,6
7.5430927,6.411697,blues,2
5.1647334,4.8958735,blues,9
7.3970213,6.3182573,blues,9
5.2539268,4.890817,blues,9
7.4792814,6.3713293,blues,9
7.102892,5.831945,blues,9
6.7875185,5.60852,blues,9
5.9402175,5.1947355,blues,9
5.276735,4.722491,blues,9
7.3957586,6.235586,blues,9
7.306051,6.1493397,blues,9
5.630484,5.069731,blues,9
5.2380753,4.7070794,blues,9
6.901879,6.0033793,blues,9
7.517196,6.355864,blues,9
5.737872,5.170459,blues,9
10.629904,3.9019458,blues,3
10.710732,3.9255052,blues,3
10.589386,3.8180206,blues,3
10.363534,3.7687547,blues,3
10.5259495,3.8167338,blues,3
10.522285,3.8183727,blues,3
10.566137,3.8219576,blues,3
10.607778,3.8626165,blues,3
10.444521,4.0438175,blues,3
10.580415,3.8565881,blues,3
7.298769,5.7313232,blues,9
8.128398,4.973518,blues,9
7.046901,5.315384,blues,5
4.778414,4.3010883,blues,9
7.5015726,5.094278,blues,5
9.367198,2.6434643,blues,3
7.7574825,5.638544,blues,9
8.967005,2.392278,blues,6
6.4448833,3.6130013,blues,5
7.6245008,5.1462064,blues,5
4.084596,4.233566,blues,6
6.463018,3.3041291,blues,5
5.7538896,4.2605295,blues,2
6.1434464,4.4457326,blues,6
4.905496,4.002971,blues,9
3.6469421,3.7477424,blues,6
7.5461183,6.3807955,blues,2
7.15815,4.848071,blues,9
7.4620104,4.8219123,blues,9
4.383871,3.832968,blues,6
6.0518007,4.6656795,blues,2
7.041383,5.0561404,blues,9
5.999845,4.7434216,blues,9
7.5440636,5.57737,blues,2
6.1058035,4.763437,blues,9
7.0892096,5.2693295,blues,9
5.9563355,4.680236,blues,9
7.1483593,5.1369734,blues,9
7.0854325,5.1491785,blues,9
7.0597205,5.1112385,blues,9
7.714254,5.235974,blues,9
5.1407022,4.0429983,blues,6
7.1102233,5.4780526,blues,9
8.020594,5.0013046,blues,5
7.354029,4.7852407,blues,9
5.036501,4.230542,blues,9
7.558734,5.165026,blues,9
7.0960193,4.5422063,blues,9
7.2250333,4.6800394,blues,9
4.9973874,4.2043104,blues,6
8.788593,3.6782286,blues,9
8.058452,2.4203584,blues,3
8.469884,2.1986625,blues,3
8.65851,3.9222505,blues,9
8.093728,4.6206365,blues,9
6.2973485,3.2195134,blues,6
8.589928,3.8883166,blues,9
