tsne_1,tsne_2,true_label_name,vae_cluster
-18.70455,-27.949469,blues,3
-23.770315,-32.148727,blues,3
-21.13798,-31.923922,blues,3
-19.216286,-30.036291,blues,3
-21.495846,-29.243122,blues,3
-3.5582652,-69.71215,blues,7
-18.519747,-33.283573,blues,3
-20.98629,-28.629276,blues,3
-22.453526,-25.86971,blues,3
-23.821602,-32.0416,blues,3
10.546572,-12.596782,blues,2
-0.93273526,-13.459878,blues,2
-28.855867,14.834055,blues,5
14.345438,-11.129158,blues,2
3.3091352,-7.90515,blues,2
0.8711034,-13.3729315,blues,2
1.9898354,-14.284024,blues,2
1.6446059,-24.121584,blues,3
4.5164943,-25.023798,blues,3
0.94285357,-12.099632,blues,2
-14.944306,-14.8329315,blues,9
-21.178461,-27.249105,blues,3
-20.100216,-26.678247,blues,3
-21.217936,-28.104305,blues,3
-21.700857,-19.772259,blues,3
-15.066544,-16.015448,blues,9
-21.817215,-19.070356,blues,9
-6.0357866,-69.92153,blues,7
-6.1867275,-69.85559,blues,7
-5.321275,-72.956924,blues,7
-24.646954,32.60137,blues,6
-24.230396,32.199203,blues,6
-24.357206,32.36957,blues,6
-13.473921,12.040897,blues,8
-10.861548,9.580375,blues,2
-11.349922,9.525154,blues,9
-4.654654,11.7821665,blues,9
-14.091791,10.867326,blues,6
-11.038099,9.385049,blues,9
-7.6201067,7.449254,blues,9
-63.514183,11.970624,blues,9
-15.604083,-3.6067636,blues,9
-17.531149,-4.185267,blues,9
-13.827466,-1.4551954,blues,9
-62.75318,12.44855,blues,9
-21.978037,-13.31694,blues,9
-24.0005,9.771098,blues,9
-21.762758,-13.24518,blues,9
-21.780771,-12.313241,blues,9
-21.724312,-12.755173,blues,9
-16.239656,16.102327,blues,9
-22.900541,10.3625555,blues,9
-6.6045785,-4.2651014,blues,4
-19.002438,-6.3643646,blues,9
-6.268333,-4.9028525,blues,2
-23.136509,10.509675,blues,6
-23.656261,9.757137,blues,9
-15.362451,-3.878527,blues,9
-28.340914,-8.284899,blues,9
-24.01123,9.805804,blues,9
-8.654686,-0.26559618,blues,9
-15.316755,20.055244,blues,9
-19.990923,23.576973,blues,9
-19.073805,23.36563,blues,6
-8.082828,-0.77356815,blues,2
-15.229612,23.277977,blues,9
-8.767788,-0.42997578,blues,9
-15.088885,22.507202,blues,9
-8.510988,-0.21457009,blues,9
-9.278735,1.7978214,blues,9
-13.153231,2.201796,blues,9
-16.77775,20.05055,blues,9
-18.915989,22.823284,blues,9
-9.137683,-0.91800183,blues,9
-9.092432,0.35603622,blues,9
-17.090462,20.401875,blues,9
-18.941774,22.646723,blues,9
-10.673781,0.67524046,blues,9
-8.964232,-1.2029369,blues,9
-17.54458,19.904078,blues,9
-17.78787,-32.278316,blues,3
-17.978495,-32.405712,blues,3
-17.980783,-31.600368,blues,3
-19.48092,-29.48676,blues,3
-18.376104,-31.028214,blues,3
-18.31335,-31.259212,blues,3
-18.003141,-31.60533,blues,3
-17.817524,-31.664408,blues,3
-16.746414,-32.01203,blues,3
-17.726505,-31.765316,blues,3
-1.1358664,-2.2885492,blues,9
-5.597485,-12.4285555,blues,9
-1.2626581,-0.5636583,blues,5
-24.066437,11.61291,blues,9
-2.0306847,-1.6805067,blues,5
-44.5072,-15.989453,blues,3
0.038662635,-3.5422916,blues,9
-66.32657,1.2333081,blues,6
-29.106688,14.983216,blues,5
-0.8712724,-0.63774395,blues,5
