tsne_1,tsne_2,true_label_name,raw_cluster
-32.096924,5.5383205,blues,5
-33.08342,4.9593697,blues,5
-31.849884,6.1463118,blues,5
-32.27766,5.832031,blues,5
-32.043804,5.8733563,blues,5
-32.569416,6.1630173,blues,0
-32.209656,6.1409903,blues,0
-31.898796,5.880084,blues,5
-32.70913,5.0802603,blues,5
-33.39219,4.7770133,blues,5
-2.9026768,11.426198,blues,2
-1.7498499,18.54764,blues,2
-21.309875,-28.680212,blues,7
0.6632828,20.10163,blues,2
-1.1789194,20.433094,blues,8
-2.2331421,19.45407,blues,8
-2.2663665,19.484577,blues,8
-3.034468,19.69666,blues,8
-20.09887,14.497409,blues,8
-3.3139162,19.839378,blues,2
-9.718775,0.012015746,blues,2
-23.871645,-3.3615959,blues,5
-23.96606,-3.4325361,blues,5
-23.949694,-3.2912724,blues,5
-23.928324,-3.5651033,blues,5
-9.716058,-0.012061123,blues,2
-23.648314,-3.786567,blues,5
-47.340897,41.34309,blues,5
-47.342102,41.354343,blues,5
-47.34831,41.37017,blues,2
4.8222647,-31.498302,blues,2
4.906091,-31.435522,blues,2
4.92736,-31.423275,blues,2
-2.509609,9.472736,blues,2
-2.5771441,9.391525,blues,2
-2.864154,9.030048,blues,2
-3.3102868,7.6584725,blues,2
5.043407,-31.338911,blues,2
-2.4648836,7.9745646,blues,2
-2.6740263,7.9969335,blues,2
-8.337281,-3.1042833,blues,5
11.818414,36.824295,blues,2
-8.069738,-1.6812514,blues,2
-7.4856386,-2.1073153,blues,2
-8.350084,-3.2264793,blues,7
-7.8914514,-2.211086,blues,2
-2.1867435,-47.47255,blues,2
-8.044411,-1.994308,blues,2
-8.247815,-2.786344,blues,2
-7.8666105,-2.35528,blues,2
-1.7955049,-45.913948,blues,2
-1.7084978,-46.459183,blues,2
12.016952,36.787704,blues,2
-6.9359484,24.115501,blues,2
13.164182,36.53507,blues,2
-1.7026153,-46.723293,blues,2
-2.2381046,-47.44906,blues,2
11.840118,36.83649,blues,2
-1.9135934,-47.19343,blues,2
-2.2418115,-47.534786,blues,2
14.239205,38.109447,blues,2
13.282028,-19.135178,blues,2
6.4101253,-24.994984,blues,2
6.4721427,-24.853756,blues,2
13.756028,38.67395,blues,6
7.7404532,-25.142775,blues,2
13.785423,38.124065,blues,2
7.6592784,-25.13354,blues,2
14.046205,39.18411,blues,2
3.48684,-9.097713,blues,2
2.937248,-9.280266,blues,2
2.9663982,-9.389398,blues,2
6.2971225,-23.646807,blues,2
13.625778,38.213997,blues,2
13.936961,39.267418,blues,2
3.1142824,-9.443242,blues,2
6.2898355,-23.62855,blues,2
14.360113,37.678844,blues,2
13.525784,37.83847,blues,2
2.258245,-8.962097,blues,2
-28.854492,4.6864333,blues,5
-29.281435,4.586134,blues,5
-28.65065,4.568895,blues,5
-28.227503,4.65404,blues,5
-28.53584,4.8940134,blues,5
-28.548983,4.841007,blues,5
-28.552107,4.912298,blues,5
-28.602875,4.5703435,blues,5
-28.612074,4.4609423,blues,5
-28.537825,4.5811777,blues,5
-8.908513,20.821049,blues,2
-4.595956,18.371765,blues,2
-8.939623,20.88636,blues,7
-0.69491124,-45.429714,blues,2
-5.8214545,19.205978,blues,2
-24.763325,1.7687521,blues,7
-8.052534,19.405046,blues,2
-31.35376,-23.805618,blues,3
-0.5510368,-45.094227,blues,2
-5.794757,19.197966,blues,2
-3.4189193,-45.466183,blues,2
-14.842481,-30.795704,blues,7
7.678313,-8.706282,blues,2
7.7661657,-8.78886,blues,2
-2.6542206,-45.803535,blues,2
-32.296783,-4.283516,blues,5
14.207408,39.989513,blues,6
10.0894165,-13.501201,blues,2
-1.8680413,-9.194461,blues,2
-3.3081706,-45.523655,blues,2
12.171163,-6.6307526,blues,2
3.1718986,3.448963,blues,2
12.26324,-6.6606436,blues,2
3.4871216,3.2582076,blues,2
4.3993387,4.201893,blues,2
3.1690488,3.3789966,blues,2
12.199042,-6.719572,blues,2
3.6574912,4.0732927,blues,2
2.6649194,4.0338483,blues,2
3.0776274,3.7070785,blues,2
-15.486381,-18.194538,blues,2
-1.4922554,-23.921396,blues,2
-10.200711,-18.023968,blues,2
-13.348131,-19.85952,blues,2
-15.183309,-18.07433,blues,2
-1.1137915,-23.912422,blues,2
-15.172373,-19.715937,blues,2
-15.181523,-22.117855,blues,2
-12.358857,-17.865711,blues,2
-1.0193112,-23.949545,blues,2
-14.06618,-15.2946,blues,2
-21.79624,-23.899626,blues,5
-22.088568,-23.971708,blues,5
-14.029902,-15.365219,blues,2
-12.939798,-18.841293,blues,2
-22.347445,-24.164377,blues,2
-14.068841,-15.033228,blues,2
-18.447144,-24.885143,blues,7
-0.55359674,-23.979626,blues,2
-26.735804,-38.940758,blues,7
-3.9927726,-27.261057,blues,2
-5.4211583,-32.297516,blues,3
-5.3728504,-32.32695,blues,7
-14.730964,-25.440792,blues,7
-14.729347,-25.573702,blues,7
-16.033901,-25.960623,blues,7
-15.584105,-25.916449,blues,7
-13.434592,-25.286787,blues,7
-13.365301,-25.145596,blues,2
-10.443271,-20.037863,blues,7
-13.660968,-21.122988,blues,2
-5.392397,-29.263948,blues,5
-13.781037,-22.172348,blues,2
-14.234546,-19.581434,blues,2
-15.097002,-23.302338,blues,7
-13.411287,-20.96719,blues,2
-12.74192,-19.54477,blues,2
-18.447147,-24.95997,blues,7
-5.1970797,-28.968157,blues,2
-14.396318,-19.1877,blues,7
-12.844263,-18.203989,blues,2
-14.319449,-24.277405,blues,2
-12.533665,-17.60438,blues,2
-17.884682,-23.141888,blues,7
-12.500601,-17.403593,blues,2
-22.604902,-22.615088,blues,5
-10.848586,-21.267822,blues,2
-5.63057,-29.164145,blues,2
-15.679434,-21.187672,blues,2
-16.62738,-22.199959,blues,2
-12.21246,-20.229578,blues,2
-4.517101,-26.044226,blues,2
-12.065234,-20.262863,blues,2
-5.2739472,-26.073912,blues,2
-11.873577,-20.789251,blues,2
-5.507795,-26.035534,blues,2
-12.226244,-20.766233,blues,2
-5.017584,-26.186823,blues,2
-11.456063,-20.896164,blues,2
-5.214682,-26.183521,blues,2
-26.696476,-24.099016,blues,5
-19.926336,-27.165785,blues,7
-12.5582075,-17.044851,blues,2
-40.071045,-38.494495,blues,5
-27.700924,-24.595896,blues,5
-26.605177,-37.99378,blues,7
-26.58829,-37.907833,blues,7
-30.555721,-26.155746,blues,3
-26.526375,-33.1024,blues,7
-9.182525,-24.29042,blues,7
-10.368321,-18.38319,blues,2
-3.2348518,-24.890087,blues,2
-15.45445,-21.778984,blues,2
-17.272438,-20.608133,blues,7
-3.322983,-24.799793,blues,2
-3.3509665,-24.937595,blues,2
-17.291101,-20.593071,blues,7
-15.812213,-21.50627,blues,2
-4.2076035,-23.648386,blues,2
-12.376528,-20.733185,blues,2
-19.962,-27.805328,blues,2
-25.747034,-24.014824,blues,5
-25.69763,-23.891212,blues,5
-22.374657,-22.311695,blues,2
-26.148594,-24.200863,blues,5
-26.00914,-24.117153,blues,5
-12.156509,-18.939617,blues,2
-13.393657,-18.123083,blues,2
-24.611456,-24.916233,blues,5
-19.852146,-27.757088,blues,7
-13.616249,-24.118097,blues,2
-17.440187,-24.346128,blues,7
-17.090204,-23.491322,blues,7
-5.0922046,-28.652874,blues,2
-16.812231,-23.425394,blues,7
-13.883422,-23.115707,blues,2
-3.541003,-31.57882,blues,2
-16.673367,-23.477888,blues,7
-13.965109,-23.027178,blues,2
-3.4861271,-31.635914,blues,2
-4.9233937,-28.609468,blues,2
-16.49372,-23.674692,blues,7
-13.67478,-23.617361,blues,2
-12.881724,-24.551744,blues,2
-5.9123607,-27.814224,blues,2
-21.267948,-23.604925,blues,7
-18.102057,-24.491945,blues,7
-9.596069,-19.936966,blues,2
-15.052464,-24.407705,blues,7
-16.667053,-23.082666,blues,7
-5.9897394,-23.320364,blues,2
-6.2025495,-23.164675,blues,2
-10.6359825,-24.916927,blues,2
-10.690413,-25.430134,blues,2
-7.0905256,-25.215492,blues,3
-10.147444,-22.943228,blues,2
-10.379637,-22.974335,blues,2
-7.1566086,-25.31812,blues,3
-5.5625286,-22.515041,blues,2
-5.812791,-23.89648,blues,2
-4.592162,-20.789253,blues,2
-2.8536844,-21.1608,blues,2
-1.8523399,-26.25356,blues,2
-2.0269926,-26.46972,blues,2
-7.162232,-21.702522,blues,2
-7.1167197,-20.138025,blues,2
-2.420023,-26.35863,blues,2
-2.1378925,-26.33989,blues,2
-7.006571,-20.195118,blues,2
-7.275794,-20.224365,blues,2
-5.631552,-24.39837,blues,2
-16.855774,-25.949522,blues,7
-5.0058694,-24.071245,blues,2
-5.2431097,-24.278868,blues,2
-8.836997,-23.497095,blues,7
-8.538177,-22.697552,blues,2
-7.16143,-24.90377,blues,2
-6.9997506,-21.639196,blues,2
-8.881905,-23.974012,blues,2
-7.3318486,-24.858027,blues,2
-1.9504378,-26.93818,blues,2
-15.45051,-24.522833,blues,7
-13.224492,-26.83456,blues,7
-7.98319,-22.329065,blues,2
-1.6418844,-27.187136,blues,7
-15.738323,-24.460186,blues,7
-13.216239,-24.358864,blues,2
-7.9917235,-26.716307,blues,2
-8.069711,-26.851246,blues,2
32.0193,55.34636,blues,6
-2.4340496,-19.534935,blues,2
-0.48784027,-26.013527,blues,3
-13.633889,-27.410147,blues,7
-14.996311,-28.558817,blues,7
-2.457796,-19.42865,blues,2
-4.452897,-21.38365,blues,2
-0.546963,-25.9569,blues,2
-13.686849,-27.611126,blues,7
-10.981823,-26.789682,blues,7
-10.930512,-26.571915,blues,7
-4.686171,-19.492447,blues,2
-2.7809482,-21.227331,blues,2
-1.4349493,-26.193157,blues,2
-6.98234,-20.40495,blues,2
-7.0540385,-20.201717,blues,2
